name	genus	species	subspecies	type	population	tissue	sampled_age	pop_collect_date	collector		locality	plant_grower_tissue_collector	longitude	latitude	library_type	library_prep	library_who	library_number	restriction_enzyme	read_tech	sequence_format	quality_format	date_sequenced	sequencing_facility	read_length	barcodes	barcode_type_position	mate_pair_library	current_known_location	who_received_sequences	notes	known_alias	associated publication	sample_numbering	submitted_to_SRA
Des1484	helianthus	deserticola		wild											cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST		These sequences have been uploaded on NCBI SRA (PRJNA188794)		3	152	Y
des2458	helianthus	deserticola		wild											cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST		These sequences have been uploaded on NCBI SRA (PRJNA188794)		3	153	Y
EXI-2348	helianthus	exilis	NA	wild	Ames 27220	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane1_barcode6	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	105 X 2	Lane1_barcode6	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/exilis	"Nolan Kane, Sebastien Renaut"				6	
EXI-2359	helianthus	exilis	NA	wild	Ames 27231	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane1_barcode7	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	106 X 2	Lane1_barcode7	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/exilis	"Nolan Kane, Sebastien Renaut"				7	
EXI-2360	helianthus	exilis	NA	wild	Ames 27232	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane1_barcode8	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	107 X 2	Lane1_barcode8	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/exilis	"Nolan Kane, Sebastien Renaut"				8	
EXI-2363	helianthus	exilis	NA	wild	Ames 27235	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane2_barcode9	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	108 X 2	Lane2_barcode9	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/exilis	"Nolan Kane, Sebastien Renaut"				9	
EXI-2368	helianthus	exilis	NA	wild	Ames 27240	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane2_barcode10	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	109 X 2	Lane2_barcode10	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/exilis	"Nolan Kane, Sebastien Renaut"				10	
EXI-2375	helianthus	exilis	NA	wild	Ames 27247	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane2_barcode11	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	110 X 2	Lane2_barcode11	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/exilis	"Nolan Kane, Sebastien Renaut"				11	
EXI-2356	helianthus	exilis	NA	wild	PI 649889	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane2_barcode12	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	111 X 2	Lane2_barcode12	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/exilis	"Nolan Kane, Sebastien Renaut"				12	
EXI-2370	helianthus	exilis	NA	wild	PI 649899	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane2_barcode1	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	112 X 2	Lane2_barcode1	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/exilis	"Nolan Kane, Sebastien Renaut"				13	
EXI-2371	helianthus	exilis	NA	wild	PI 649900	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane2_barcode2	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	113 X 2	Lane2_barcode2	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/exilis	"Nolan Kane, Sebastien Renaut"				14	
EXI-2373	helianthus	exilis	NA	wild	PI 649901	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane2_barcode3	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	114 X 2	Lane2_barcode3	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/exilis	"Nolan Kane, Sebastien Renaut"				15	
exilis	helianthus	exilis		wild											cDNA					sanger	fasta	NA							cluster:/Linux/Loren/Seq/EST					154	
exilis	helianthus	exilis		wild											cDNA					sanger	fasta	NA							cluster:/Linux/Loren/Seq/EST					155	
king147A	helianthus	paradoxus		wild		young leaves / stem			MattKing			Sebastien Renaut / Megan Stewart	26.249252	-98.477154	cDNA					illumina	fq	fastq		GSC	2 x 100				cluster:/Linux/Loren/Seq/EST		These sequences have been uploaded on NCBI SRA (PRJNA188794)		3	156	Y
King151	helianthus	paradoxus		wild		young leaves / stem			MattKing			Sebastien Renaut / Megan Stewart	33.4308	-104.4701	cDNA					illumina	fasta	NA		GSC	2 x 100				cluster:/Linux/Loren/Seq/EST		These sequences have been uploaded on NCBI SRA (PRJNA188794)		3	157	Y
king152	helianthus	paradoxus		wild		young leaves / stem		2008	MattKing			Sebastien Renaut / Megan Stewart	33.4308	-104.4701	cDNA					illumina	fasta	NA		GSC	2 x 100				cluster:/Linux/Loren/Seq/EST		These sequences have been uploaded on NCBI SRA (PRJNA188794)		3	158	Y
king141B	helianthus	paradoxus		wild		young leaves / stem		2008	MattKing		NM	Sebastien Renaut / Megan Stewart	34.941267	-104.676	cDNA					illumina	fasta	NA		GSC	2 x 100				cluster:/Linux/Loren/Seq/EST		These sequences have been uploaded on NCBI SRA (PRJNA188794)		3	159	Y
king145B	helianthus	paradoxus		wild		young leaves / stem		2008	MattKing		NM	Sebastien Renaut / Megan Stewart	33.31865	-104.33148	cDNA					illumina	fasta	NA		GSC	2 x 100				cluster:/Linux/Loren/Seq/EST		These sequences have been uploaded on NCBI SRA (PRJNA188794)		3	160	Y
king156B	helianthus	paradoxus		wild		young leaves / stem		2008	MattKing		TX	Sebastien Renaut / Megan Stewart	31.0095	-102.9224	cDNA					illumina	fasta	NA		GSC	2 x 100				cluster:/Linux/Loren/Seq/EST		These sequences have been uploaded on NCBI SRA (PRJNA188794)		3	161	Y
paradoxus	helianthus	paradoxus		wild											cDNA					sanger	fasta	NA							cluster:/Linux/Loren/Seq/EST					159	
paradoxus	helianthus	paradoxus		wild											cDNA					sanger	fasta	NA							cluster:/Linux/Loren/Seq/EST					160	
paradoxus	helianthus	paradoxus		wild											cDNA					sanger	fasta	NA							cluster:/Linux/Loren/Seq/EST					161	
PL109	helianthus	petiolaris		wild											cDNA					454	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST					162	Y
PL109	helianthus	petiolaris		wild							New Mexico		-104.63	34.86	cDNA					454	fna	qual							cluster:/Linux/Loren/Seq/EST				1	163	Y
GSD1439	helianthus	petiolaris		wild							colorado dunes		-105.64	37.73	cDNA normalized		Zhao Lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST				1	164	Y
GSD975	helianthus	petiolaris		wild							Texas		-102.89	31.59	cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST				1	165	Y
ISS01	helianthus	petiolaris		wild	155				Matt King		"Monahans, TX"		-102.8926756	31.5942851	cDNA normalized		Zhao Lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST		"Actually called population ""155"" instead of ISS, collected near oilfield"		1	166	Y
ISS19	helianthus	petiolaris		wild	155				Matt King		"Monahans, TX"		-102.8926756	31.5942851	cDNA normalized		Zhao Lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST		"Actually called population ""155"" instead of ISS, collected near oilfield"		1	167	Y
KSG54	helianthus	petiolaris		wild							Texas		-102.89	31.59	cDNA normalized		Zhao Lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST				1	168	Y
pet2119	helianthus	petiolaris		wild							Montana		-105.7	46.38	cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST				1	169	Y
Pet2152	helianthus	petiolaris		wild							Colorado		-104.82	40.82	cDNA normalized		Zhao Lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST				1	170	Y
Pet489	helianthus	petiolaris		wild							Texas		-102.33	35.68	cDNA normalized		Zhao Lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST					173	Y
Pi468805	helianthus	petiolaris		wild											cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST					174	Y
PI468815	helianthus	petiolaris		wild							utah				cDNA normalized		Zhao Lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST					175	Y
PI531058	helianthus	petiolaris		wild							north dakota				cDNA normalized		Zhao Lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST					176	Y
PI586932b	helianthus	petiolaris		wild											cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST					177	Y
PL109	helianthus	petiolaris		wild							"Puerto de Luna, NM"		-104.6344	34.8578	cDNA normalized		Zhao Lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST					178	Y
petiolaris	helianthus	petiolaris		wild											cDNA					sanger	fq	fastq							cluster:/Linux/Loren/Seq/EST					179	
btm13-6	helianthus	praecox	runyonii	wild	btm013	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-97.04207	28.04006	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			"1,2"	60	Y
btm14-4	helianthus	praecox	runyonii	wild	btm014	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-97.03754	28.08714	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			"1,2"	61	Y
btm15-2	helianthus	praecox	runyonii	wild	btm015	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-97.27976	27.49065	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			"1,2"	62	Y
btm16-2	helianthus	praecox	runyonii	wild	btm016	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-97.29486	27.43203	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			"1,2"	63	Y
tuberosus	helianthus	tuberosus		wild											cDNA					sanger	fq	fastq							cluster:/Linux/Loren/Seq/EST					183	
tuberosus	helianthus	tuberosus		wild											cDNA					sanger	fq	fastq							cluster:/Linux/Loren/Seq/EST					184	
HW10	helianthus	winterii	NA	wild	HW	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-119.31944	36.71861	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	Just out of valley floor on CA 180 east of Fresno			22	Y
HW3	helianthus	winterii	NA	wild	HW	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-119.31944	36.71861	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	Just out of valley floor on CA 180 east of Fresno			23	Y
HW1	helianthus	winterii	NA	wild	HW	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-119.31944	36.71861	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	Just out of valley floor on CA 180 east of Fresno			24	Y
HWE13	helianthus	winterii	NA	wild	HWE	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-119.3025	36.72389	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	"About 1-2 km east of HW population (not continuous with HW), before Squaw Valley"			25	Y
HWE2	helianthus	winterii	NA	wild	HWE	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-119.3025	36.72389	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	"About 1-2 km east of HW population (not continuous with HW), before Squaw Valley"			26	Y
HWE5	helianthus	winterii	NA	wild	HWE	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-119.3025	36.72389	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	"About 1-2 km east of HW population (not continuous with HW), before Squaw Valley"			27	Y
PET-2	helianthus	petiolaris	petiolaris	wild	PET2152 (PI 586920)	leaves/stem	45 dpg		USDA		Colorado	Heather Rowe	-104.8166667	40.81666667	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/		same accession as pet genome		"1,2"		Y
PET2341	helianthus	petiolaris		wild		leaves/stem	seedling		USDA (Gerald J. Seiler)		Manitoba	Megan Stewart	-100.677869	49.391164	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PET2342	helianthus	petiolaris		wild		leaves/stem	seedling		USDA (Gerald J. Seiler)		North Dakota	Megan Stewart	-97.448796	48.719994	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PET2343	helianthus	petiolaris		wild		leaves/stem	seedling		USDA (Gerald J. Seiler)		Colorado	Megan Stewart	-102.254792	40.144823	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PET2344	helianthus	petiolaris		wild		leaves/stem	seedling		USDA (Gerald J. Seiler)		North Dakota	Megan Stewart	-96.895	46.15467	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PET-3	helianthus	petiolaris	petiolaris	wild	PET2152 (PI 586920)	leaves/stem	45 dpg		USDA (Gerald J. Seiler)		Colorado	Heather Rowe	-104.8166667	40.81666667	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/		same accession as pet genome		"1,2"		Y
pet489	helianthus	petiolaris		wild		leaves/stem	seedling				Texas	Megan Stewart	-102.3333333	35.68333333	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
Pi468805	helianthus	petiolaris		wild		leaves/stem	seedling		USDA		New Mexico	Megan Stewart	-108.2666667	32.76666667	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PI468812	helianthus	petiolaris		wild		leaves/stem	seedling		USDA		New Mexico	Megan Stewart	-103.34	33.51	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PI468815	helianthus	petiolaris		wild		leaves/stem	seedling		USDA		Utah	Megan Stewart	-112.53	37.04666667	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/		Helianthus petiolaris subsp. fallax		"1,2"		Y
PI503232	helianthus	petiolaris		wild		leaves/stem	seedling		USDA		New Jersey	Megan Stewart	-75.04	39.41	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PI531058	helianthus	petiolaris		wild		leaves/stem	seedling		USDA		North Dakota	Megan Stewart	-96.96666667	46.53333333	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/		Helianthus petiolaris subsp. petiolaris A		"1,2"		Y
PI547210	helianthus	petiolaris		wild		leaves/stem	seedling		USDA		Illinois	Megan Stewart	-90.43	40.016	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PI586932b	helianthus	petiolaris		wild		leaves/stem	seedling		USDA		Nebraska	Megan Stewart	-100.38	42.1	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PI613767	helianthus	petiolaris		wild		leaves/stem	seedling		USDA		oklahoma	Megan Stewart	-97.805	36.66833333	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PI649907	helianthus	petiolaris		wild		leaves/stem	seedling		USDA		texas	Megan Stewart	-103.1933333	32.115	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				"1,2"		Y
PL109	helianthus	petiolaris		wild		leaves/stem	seedling				NM	Megan Stewart	-104.6344	34.8578	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	/Linux/Loren/Seq/EST/petiolaris/illumina/				1		Y
GSD1003	helianthus	petiolaris	GSD dune	wild	GSD1003	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1009	helianthus	petiolaris	GSD dune	wild	GSD1003	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1010	helianthus	petiolaris	GSD dune	wild	GSD1003	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1011	helianthus	petiolaris	GSD dune	wild	GSD1003	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1013	helianthus	petiolaris	GSD dune	wild	GSD1003	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD10340	helianthus	petiolaris	GSD dune	wild	GSD1033	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1035	helianthus	petiolaris	GSD dune	wild	GSD1033	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1039	helianthus	petiolaris	GSD dune	wild	GSD1033	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1042	helianthus	petiolaris	GSD dune	wild	GSD1033	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1043	helianthus	petiolaris	GSD dune	wild	GSD1033	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1063	helianthus	petiolaris	GSD non-dune	wild	GSD1063	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1067	helianthus	petiolaris	GSD non-dune	wild	GSD1063	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1068	helianthus	petiolaris	GSD non-dune	wild	GSD1063	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1075	helianthus	petiolaris	GSD non-dune	wild	GSD1063	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1076	helianthus	petiolaris	GSD non-dune	wild	GSD1063	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1095	helianthus	petiolaris	GSD intermediate	wild	GSD1094	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1100	helianthus	petiolaris	GSD intermediate	wild	GSD1094	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1103	helianthus	petiolaris	GSD intermediate	wild	GSD1094	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1107	helianthus	petiolaris	GSD intermediate	wild	GSD1094	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1108	helianthus	petiolaris	GSD intermediate	wild	GSD1094	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1118	helianthus	petiolaris	GSD dune	wild	GSD1117	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1119	helianthus	petiolaris	GSD dune	wild	GSD1117	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1122	helianthus	petiolaris	GSD dune	wild	GSD1117	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1127	helianthus	petiolaris	GSD dune	wild	GSD1117	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1129	helianthus	petiolaris	GSD dune	wild	GSD1117	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1147	helianthus	petiolaris	GSD non-dune	wild	GSD1147	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1149	helianthus	petiolaris	GSD non-dune	wild	GSD1147	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1151	helianthus	petiolaris	GSD non-dune	wild	GSD1147	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1153	helianthus	petiolaris	GSD non-dune	wild	GSD1147	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1154	helianthus	petiolaris	GSD non-dune	wild	GSD1147	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1180	helianthus	petiolaris	GSD dune	wild	GSD1180	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1185	helianthus	petiolaris	GSD dune	wild	GSD1180	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
